Date,Close
02-Jan-89,659.11
04-Jan-89,640.81
05-Jan-89,628.17
06-Jan-89,625.32
09-Jan-89,658.45
10-Jan-89,660.41
11-Jan-89,656.24
12-Jan-89,652.24
13-Jan-89,642.35
16-Jan-89,644.39
17-Jan-89,646.32
18-Jan-89,641.02
19-Jan-89,634.12
20-Jan-89,631.75
23-Jan-89,628.19
25-Jan-89,659.89
27-Jan-89,666.62
30-Jan-89,674.47
31-Jan-89,678.72
01-Feb-89,662.59
02-Feb-89,650.64
03-Feb-89,665.48
06-Feb-89,684.59
07-Feb-89,678.72
08-Feb-89,669.2
09-Feb-89,670.4
10-Feb-89,669.8
13-Feb-89,656.21
14-Feb-89,660.23
15-Feb-89,653.73
16-Feb-89,643.61
17-Feb-89,648.75
20-Feb-89,661.76
21-Feb-89,661.17
22-Feb-89,660.66
23-Feb-89,661.87
24-Feb-89,671.57
25-Feb-89,666.62
28-Feb-89,654.96
01-Mar-89,636
02-Mar-89,655.46
03-Mar-89,656.42
07-Mar-89,671.7
08-Mar-89,680.66
09-Mar-89,678.04
10-Mar-89,684.77
13-Mar-89,675.23
14-Mar-89,666.28
15-Mar-89,672.39
16-Mar-89,673.07
17-Mar-89,670.7
20-Mar-89,663.8
21-Mar-89,656.53
23-Mar-89,679.29
27-Mar-89,690.46
28-Mar-89,692.29
29-Mar-89,704.01
30-Mar-89,711.14
31-Mar-89,713.6
03-Apr-89,723.88
04-Apr-89,718.69
05-Apr-89,716.78
07-Apr-89,728.25
10-Apr-89,752.15
11-Apr-89,753.93
12-Apr-89,734.77
13-Apr-89,748.44
17-Apr-89,745.57
19-Apr-89,750.91
20-Apr-89,761.09
21-Apr-89,768.86
25-Apr-89,761.85
26-Apr-89,781.24
27-Apr-89,770.9
28-Apr-89,780.36
02-May-89,751.87
03-May-89,749.75
04-May-89,753.53
05-May-89,745.94
10-May-89,732.34
11-May-89,713.54
12-May-89,726.79
15-May-89,734.94
16-May-89,734.83
17-May-89,715.12
18-May-89,718.08
19-May-89,708.35
22-May-89,705.77
23-May-89,716.16
24-May-89,715.24
26-May-89,709.83
29-May-89,695.28
30-May-89,692.24
31-May-89,691.15
01-Jun-89,699.02
02-Jun-89,708.19
05-Jun-89,725.14
06-Jun-89,723.13
